Region;Province;Municipality_City;Mun_Code;Housing_Units
Region XI (Davao Region);Davao Del Sur;City of Davao;PH112402000;400675
Region XI (Davao Region);Davao Del Sur;City of Digos (Capital);PH112403000;41299
Region XI (Davao Region);Davao Del Sur;Hagonoy;PH112404000;12996
Region XI (Davao Region);Davao Del Sur;Kiblawan;PH112406000;13425
Region XI (Davao Region);Davao Del Sur;Magsaysay;PH112407000;13472
Region XI (Davao Region);Davao Del Sur;Malalag;PH112408000;10025
Region XI (Davao Region);Davao Del Sur;Matanao;PH112410000;13787
Region XI (Davao Region);Davao Del Sur;Padada;PH112411000;6869
Region XI (Davao Region);Davao Del Sur;Santa Cruz;PH112412000;22167
Region XI (Davao Region);Davao Del Sur;Sulop;PH112414000;8550
Region XI (Davao Region);Davao Oriental;Baganga;PH112501000;13259
Region XI (Davao Region);Davao Oriental;Banaybanay;PH112502000;9251
Region XI (Davao Region);Davao Oriental;Boston;PH112503000;3212
Region XI (Davao Region);Davao Oriental;Caraga;PH112504000;9094
Region XI (Davao Region);Davao Oriental;Cateel;PH112505000;9694
Region XI (Davao Region);Davao Oriental;Governor Generoso;PH112506000;12448
Region XI (Davao Region);Davao Oriental;Lupon;PH112507000;15210
Region XI (Davao Region);Davao Oriental;Manay;PH112508000;9528
Region XI (Davao Region);Davao Oriental;City of Mati (Capital);PH112509000;31853
Region XI (Davao Region);Davao Oriental;San Isidro;PH112510000;7788
Region XI (Davao Region);Davao Oriental;Tarragona;PH112511000;5632
Region XI (Davao Region);Compostela Valley;Compostela;PH118201000;18791
Region XI (Davao Region);Compostela Valley;Laak (San Vicente);PH118202000;17401
Region XI (Davao Region);Compostela Valley;Mabini (DoÃƒÂ±a Alicia);PH118203000;9618
Region XI (Davao Region);Compostela Valley;Maco;PH118204000;18666
Region XI (Davao Region);Compostela Valley;Maragusan (San Mariano);PH118205000;14022
Region XI (Davao Region);Compostela Valley;Mawab;PH118206000;8272
Region XI (Davao Region);Compostela Valley;Monkayo;PH118207000;21308
Region XI (Davao Region);Compostela Valley;Montevista;PH118208000;9933
Region XI (Davao Region);Compostela Valley;Nabunturan (Capital);PH118209000;18810
Region XI (Davao Region);Compostela Valley;New Bataan;PH118210000;11579
Region XI (Davao Region);Compostela Valley;Pantukan;PH118211000;19132
Region XI (Davao Region);Davao Occidental;Don Marcelino;PH118601000;11191
Region XI (Davao Region);Davao Occidental;Jose Abad Santos (Trinidad);PH118602000;17990
Region XI (Davao Region);Davao Occidental;Malita (Capital);PH118603000;28204
Region XI (Davao Region);Davao Occidental;Santa Maria;PH118604000;13590
Region XI (Davao Region);Davao Occidental;Sarangani;PH118605000;5632
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Alamada;PH124701000;14481
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Carmen;PH124702000;21810
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Kabacan;PH124703000;19641
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);City of Kidapawan (Capital);PH124704000;32921
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Libungan;PH124705000;11446
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Magpet;PH124706000;11084
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Makilala;PH124707000;19170
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Matalam;PH124708000;18693
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Midsayap;PH124709000;33698
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);M'Lang;PH124710000;23008
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Pigkawayan;PH124711000;15201
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Pikit;PH124712000;35507
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);President Roxas;PH124713000;10870
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Tulunan;PH124714000;13500
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Antipas;PH124715000;6063
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Banisilan;PH124716000;9625
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Aleosan;PH124717000;8803
Region XII (SOCCSKSARGEN);Cotabato (North Cotabato);Arakan;PH124718000;10656
Region XII (SOCCSKSARGEN);South Cotabato;Banga;PH126302000;20803
Region XII (SOCCSKSARGEN);South Cotabato;City of General Santos (Dadiangas);PH126303000;143168
Region XII (SOCCSKSARGEN);South Cotabato;City of Koronadal (Capital);PH126306000;42473
Region XII (SOCCSKSARGEN);South Cotabato;Norala;PH126311000;10547
Region XII (SOCCSKSARGEN);South Cotabato;Polomolok;PH126312000;36485
Region XII (SOCCSKSARGEN);South Cotabato;Surallah;PH126313000;20147
Region XII (SOCCSKSARGEN);South Cotabato;Tampakan;PH126314000;9391
Region XII (SOCCSKSARGEN);South Cotabato;Tantangan;PH126315000;10374
Region XII (SOCCSKSARGEN);South Cotabato;T'Boli;PH126316000;21289
Region XII (SOCCSKSARGEN);South Cotabato;Tupi;PH126317000;16548
Region XII (SOCCSKSARGEN);South Cotabato;Santo NiÃƒÂ±o;PH126318000;9594
Region XII (SOCCSKSARGEN);South Cotabato;Lake Sebu;PH126319000;18513
Region XII (SOCCSKSARGEN);Sultan Kudarat;Bagumbayan;PH126501000;15385
Region XII (SOCCSKSARGEN);Sultan Kudarat;Columbio;PH126502000;8111
Region XII (SOCCSKSARGEN);Sultan Kudarat;Esperanza;PH126503000;15756
Region XII (SOCCSKSARGEN);Sultan Kudarat;Isulan (Capital);PH126504000;20220
Region XII (SOCCSKSARGEN);Sultan Kudarat;Kalamansig;PH126505000;10664
Region XII (SOCCSKSARGEN);Sultan Kudarat;Lebak;PH126506000;20319
Region XII (SOCCSKSARGEN);Sultan Kudarat;Lutayan;PH126507000;13041
Region XII (SOCCSKSARGEN);Sultan Kudarat;Lambayong (Mariano Marcos);PH126508000;17511
Region XII (SOCCSKSARGEN);Sultan Kudarat;Palimbang;PH126509000;18993
Region XII (SOCCSKSARGEN);Sultan Kudarat;President Quirino;PH126510000;9663
Region XII (SOCCSKSARGEN);Sultan Kudarat;City of Tacurong;PH126511000;21588
Region XII (SOCCSKSARGEN);Sultan Kudarat;Sen. Ninoy Aquino;PH126512000;11669
Region XII (SOCCSKSARGEN);Sarangani;Alabel (Capital);PH128001000;17830
Region XII (SOCCSKSARGEN);Sarangani;Glan;PH128002000;27955
Region XII (SOCCSKSARGEN);Sarangani;Kiamba;PH128003000;13576
Region XII (SOCCSKSARGEN);Sarangani;Maasim;PH128004000;13163
Region XII (SOCCSKSARGEN);Sarangani;Maitum;PH128005000;10397
Region XII (SOCCSKSARGEN);Sarangani;Malapatan;PH128006000;15831
Region XII (SOCCSKSARGEN);Sarangani;Malungon;PH128007000;24508
Region XII (SOCCSKSARGEN);Cotabato City (Not a Province);City of Cotabato;PH129804000;55987
National Capital Region (NCR); Second District (Not a Province);City of Mandaluyong;PH137401000;93319
National Capital Region (NCR); Second District (Not a Province);City of Marikina;PH137402000;95305
National Capital Region (NCR); Second District (Not a Province);City of Pasig;PH137403000;175280
National Capital Region (NCR); Second District (Not a Province);Quezon City;PH137404000;660249
National Capital Region (NCR); Second District (Not a Province);City of San Juan;PH137405000;26768
National Capital Region (NCR); Third District (Not a Province);City of Caloocan;PH137501000;353357
National Capital Region (NCR); Third District (Not a Province);City of Malabon;PH137502000;81724
National Capital Region (NCR); Third District (Not a Province);City of Navotas;PH137503000;56260
National Capital Region (NCR); Third District (Not a Province);City of Valenzuela;PH137504000;147161
National Capital Region (NCR); Fourth District (Not a Province);City of Las PiÃƒÂ±as;PH137601000;137897
National Capital Region (NCR); Fourth District (Not a Province);City of Makati;PH137602000;148430
National Capital Region (NCR); Fourth District (Not a Province);City of Muntinlupa;PH137603000;115515
National Capital Region (NCR); Fourth District (Not a Province);City of ParaÃƒÂ±aque;PH137604000;159587
National Capital Region (NCR); Fourth District (Not a Province);Pasay City;PH137605000;101557
National Capital Region (NCR); Fourth District (Not a Province);Pateros;PH137606000;13393
National Capital Region (NCR); Fourth District (Not a Province);City of Taguig;PH137607000;192862
Cordillera Administrative Region (CAR);Abra;Bangued (Capital);PH140101000;10787
Cordillera Administrative Region (CAR);Abra;Boliney;PH140102000;758
Cordillera Administrative Region (CAR);Abra;Bucay;PH140103000;3813
Cordillera Administrative Region (CAR);Abra;Bucloc;PH140104000;435
Cordillera Administrative Region (CAR);Abra;Daguioman;PH140105000;375
Cordillera Administrative Region (CAR);Abra;Danglas;PH140106000;873
Cordillera Administrative Region (CAR);Abra;Dolores;PH140107000;2484
Cordillera Administrative Region (CAR);Abra;La Paz;PH140108000;3325
Cordillera Administrative Region (CAR);Abra;Lacub;PH140109000;647
Cordillera Administrative Region (CAR);Abra;Lagangilang;PH140110000;3048
Cordillera Administrative Region (CAR);Abra;Lagayan;PH140111000;932
Cordillera Administrative Region (CAR);Abra;Langiden;PH140112000;660
Cordillera Administrative Region (CAR);Abra;Licuan-Baay (Licuan);PH140113000;943
Cordillera Administrative Region (CAR);Abra;Luba;PH140114000;1358
Cordillera Administrative Region (CAR);Abra;Malibcong;PH140115000;743
Cordillera Administrative Region (CAR);Abra;Manabo;PH140116000;2410
Cordillera Administrative Region (CAR);Abra;PeÃƒÂ±arrubia;PH140117000;1463
Cordillera Administrative Region (CAR);Abra;Pidigan;PH140118000;2600
Cordillera Administrative Region (CAR);Abra;Pilar;PH140119000;2262
Cordillera Administrative Region (CAR);Abra;Sallapadan;PH140120000;1341
Cordillera Administrative Region (CAR);Abra;San Isidro;PH140121000;1054
Cordillera Administrative Region (CAR);Abra;San Juan;PH140122000;2157
Cordillera Administrative Region (CAR);Abra;San Quintin;PH140123000;1239
Cordillera Administrative Region (CAR);Abra;Tayum;PH140124000;3016
Cordillera Administrative Region (CAR);Abra;Tineg;PH140125000;830
Cordillera Administrative Region (CAR);Abra;Tubo;PH140126000;982
Cordillera Administrative Region (CAR);Abra;Villaviciosa;PH140127000;1058
Cordillera Administrative Region (CAR);Benguet;Atok;PH141101000;4332
Cordillera Administrative Region (CAR);Benguet;City of Baguio;PH141102000;87731
Cordillera Administrative Region (CAR);Benguet;Bakun;PH141103000;3347
Cordillera Administrative Region (CAR);Benguet;Bokod;PH141104000;2873
Cordillera Administrative Region (CAR);Benguet;Buguias;PH141105000;10863
Cordillera Administrative Region (CAR);Benguet;Itogon;PH141106000;14204
Cordillera Administrative Region (CAR);Benguet;Kabayan;PH141107000;3483
Cordillera Administrative Region (CAR);Benguet;Kapangan;PH141108000;4194
Cordillera Administrative Region (CAR);Benguet;Kibungan;PH141109000;3584
Cordillera Administrative Region (CAR);Benguet;La Trinidad (Capital);PH141110000;33599
Cordillera Administrative Region (CAR);Benguet;Mankayan;PH141111000;8062
Cordillera Administrative Region (CAR);Benguet;Sablan;PH141112000;2599
Cordillera Administrative Region (CAR);Benguet;Tuba;PH141113000;11123
Cordillera Administrative Region (CAR);Benguet;Tublay;PH141114000;3854
Cordillera Administrative Region (CAR);Ifugao;Banaue;PH142701000;3925
Cordillera Administrative Region (CAR);Ifugao;Hungduan;PH142702000;1939
Cordillera Administrative Region (CAR);Ifugao;Kiangan;PH142703000;3479
Cordillera Administrative Region (CAR);Ifugao;Lagawe (Capital);PH142704000;3944
Cordillera Administrative Region (CAR);Ifugao;Lamut;PH142705000;5593
Cordillera Administrative Region (CAR);Ifugao;Mayoyao;PH142706000;4071
Cordillera Administrative Region (CAR);Ifugao;Alfonso Lista (Potia);PH142707000;7138
Cordillera Administrative Region (CAR);Ifugao;Aguinaldo;PH142708000;4658
Cordillera Administrative Region (CAR);Ifugao;Hingyon;PH142709000;2044
Cordillera Administrative Region (CAR);Ifugao;Tinoc;PH142710000;3597
Cordillera Administrative Region (CAR);Ifugao;Asipulo;PH142711000;2829
Cordillera Administrative Region (CAR);Kalinga;Balbalan;PH143201000;2301
Cordillera Administrative Region (CAR);Kalinga;Lubuagan;PH143206000;1728
Cordillera Administrative Region (CAR);Kalinga;Pasil;PH143208000;1797
Cordillera Administrative Region (CAR);Kalinga;Pinukpuk;PH143209000;6258
Cordillera Administrative Region (CAR);Kalinga;Rizal (Liwan);PH143211000;3718
Cordillera Administrative Region (CAR);Kalinga;City of Tabuk (Capital);PH143213000;22350
Cordillera Administrative Region (CAR);Kalinga;Tanudan;PH143214000;1568
Cordillera Administrative Region (CAR);Kalinga;Tinglayan;PH143215000;2270
Cordillera Administrative Region (CAR);Mountain Province;Barlig;PH144401000;1190
Cordillera Administrative Region (CAR);Mountain Province;Bauko;PH144402000;6790
Cordillera Administrative Region (CAR);Mountain Province;Besao;PH144403000;1710
Cordillera Administrative Region (CAR);Mountain Province;Bontoc (Capital);PH144404000;6307
Cordillera Administrative Region (CAR);Mountain Province;Natonin;PH144405000;2187
Cordillera Administrative Region (CAR);Mountain Province;Paracelis;PH144406000;5826
Cordillera Administrative Region (CAR);Mountain Province;Sabangan;PH144407000;2215
Cordillera Administrative Region (CAR);Mountain Province;Sadanga;PH144408000;1764
Cordillera Administrative Region (CAR);Mountain Province;Sagada;PH144409000;2641
Cordillera Administrative Region (CAR);Mountain Province;Tadian;PH144410000;4227
Cordillera Administrative Region (CAR);Apayao;Calanasan (Bayag);PH148101000;2382
Cordillera Administrative Region (CAR);Apayao;Conner;PH148102000;5466
Cordillera Administrative Region (CAR);Apayao;Flora;PH148103000;4042
Cordillera Administrative Region (CAR);Apayao;Kabugao (Capital);PH148104000;3130
Cordillera Administrative Region (CAR);Apayao;Luna;PH148105000;4129
Cordillera Administrative Region (CAR);Apayao;Pudtol;PH148106000;3158
Cordillera Administrative Region (CAR);Apayao;Santa Marcela;PH148107000;3111
Autonomous Region in Muslim Mindanao (ARMM);Basilan;City of Lamitan (Capital);PH150702000;14751
Autonomous Region in Muslim Mindanao (ARMM);Basilan;Lantawan;PH150703000;4440
Autonomous Region in Muslim Mindanao (ARMM);Basilan;Maluso;PH150704000;6019
Autonomous Region in Muslim Mindanao (ARMM);Basilan;Sumisip;PH150705000;7388
Autonomous Region in Muslim Mindanao (ARMM);Basilan;Tipo-Tipo;PH150706000;3117
Autonomous Region in Muslim Mindanao (ARMM);Basilan;Tuburan;PH150707000;2985
Autonomous Region in Muslim Mindanao (ARMM);Basilan;Akbar;PH150708000;2560
Autonomous Region in Muslim Mindanao (ARMM);Basilan;Al-Barka;PH150709000;3647
Autonomous Region in Muslim Mindanao (ARMM);Basilan;Hadji Mohammad Ajul;PH150710000;2747
Autonomous Region in Muslim Mindanao (ARMM);Basilan;Ungkaya Pukan;PH150711000;3060
Autonomous Region in Muslim Mindanao (ARMM);Basilan;Hadji Muhtamad;PH150712000;3921
Autonomous Region in Muslim Mindanao (ARMM);Basilan;Tabuan-Lasa;PH150713000;3069
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Bacolod-Kalawi (Bacolod Grande);PH153601000;2087
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Balabagan;PH153602000;4685
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Balindong (Watu);PH153603000;3960
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Bayang;PH153604000;2517
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Binidayan;PH153605000;2749
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Bubong;PH153606000;2227
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Butig;PH153607000;2491
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Ganassi;PH153609000;2390
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Kapai;PH153610000;1716
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Lumba-Bayabao (Maguing);PH153611000;3336
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Lumbatan;PH153612000;2263
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Madalum;PH153613000;3332
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Madamba;PH153614000;2263
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Malabang;PH153615000;6172
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Marantao;PH153616000;4083
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;City of Marawi (Capital);PH153617000;20121
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Masiu;PH153618000;3022
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Mulondo;PH153619000;1161
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Pagayawan (Tatarikan);PH153620000;1331
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Piagapo;PH153621000;3756
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Poona Bayabao (Gata);PH153622000;2469
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Pualas;PH153623000;1415
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Ditsaan-Ramain;PH153624000;1976
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Saguiaran;PH153625000;2275
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Tamparan;PH153626000;2022
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Taraka;PH153627000;1987
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Tubaran;PH153628000;1685
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Tugaya;PH153629000;2170
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Wao;PH153630000;8900
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Marogong;PH153631000;2790
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Calanogas;PH153632000;1820
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Buadiposo-Buntong;PH153633000;1550
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Maguing;PH153634000;2954
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Picong (Sultan Gumander);PH153635000;2342
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Lumbayanague;PH153636000;1782
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Bumbaran;PH153637000;1776
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Tagoloan Ii;PH153638000;1283
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Kapatagan;PH153639000;2456
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Sultan Dumalondong;PH153640000;1223
Autonomous Region in Muslim Mindanao (ARMM);Lanao Del Sur;Lumbaca-Unayan;PH153641000;835
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Ampatuan;PH153801000;3910
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Buldon;PH153802000;5540
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Buluan;PH153803000;7281
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Datu Paglas;PH153805000;4642
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Datu Piang;PH153806000;4167
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Datu Odin Sinsuat (Dinaig);PH153807000;16943
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Shariff Aguak (Maganoy) (Capital);PH153808000;4812
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Matanog;PH153809000;4524
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Pagalungan;PH153810000;6738
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Parang;PH153811000;15262
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Sultan Kudarat (Nuling);PH153812000;15331
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Sultan Sa Barongis (Lambayong);PH153813000;3515
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Kabuntalan (Tumbao);PH153814000;2401
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Upi;PH153815000;10879
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Talayan;PH153816000;4244
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;South Upi;PH153817000;7418
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Barira;PH153818000;4485
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Gen. S.K. Pendatun;PH153819000;4167
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Mamasapano;PH153820000;3915
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Talitay;PH153821000;2390
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Pagagawan;PH153822000;5608
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Paglat;PH153823000;2455
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Sultan Mastura;PH153824000;3832
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Guindulungan;PH153825000;2992
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Datu Saudi-Ampatuan;PH153826000;4354
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Datu Unsay;PH153827000;1769
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Datu Abdullah Sangki;PH153828000;3768
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Rajah Buayan;PH153829000;3768
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Datu Blah T. Sinsuat;PH153830000;3839
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Datu Anggal Midtimbang;PH153831000;3796
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Mangudadatu;PH153832000;3836
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Pandag;PH153833000;3906
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Northern Kabuntalan;PH153834000;3069
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Datu Hoffer Ampatuan;PH153835000;4308
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Datu Salibo;PH153836000;2597
Autonomous Region in Muslim Mindanao (ARMM);Maguindanao;Shariff Saydona Mustapha;PH153837000;3568
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Indanan;PH156601000;13848
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Jolo (Capital);PH156602000;18644
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Kalingalan Caluang;PH156603000;5535
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Luuk;PH156604000;5279
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Maimbung;PH156605000;6346
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Hadji Panglima Tahil (Marunggas);PH156606000;1091
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Old Panamao;PH156607000;6234
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Pangutaran;PH156608000;5235
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Parang;PH156609000;9613
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Pata;PH156610000;3580
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Patikul;PH156611000;10854
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Siasi;PH156612000;12195
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Talipao;PH156613000;12190
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Tapul;PH156614000;3123
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Tongkil;PH156615000;4184
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Panglima Estino (New Panamao);PH156616000;4064
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Lugus;PH156617000;3831
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Pandami;PH156618000;4870
Autonomous Region in Muslim Mindanao (ARMM);Sulu;Omar;PH156619000;4367
Autonomous Region in Muslim Mindanao (ARMM);Tawi-Tawi;Panglima Sugala (Balimbing);PH157001000;6433
Autonomous Region in Muslim Mindanao (ARMM);Tawi-Tawi;Bongao (Capital);PH157002000;16539
Autonomous Region in Muslim Mindanao (ARMM);Tawi-Tawi;Mapun (Cagayan De Tawi-Tawi);PH157003000;4008
Autonomous Region in Muslim Mindanao (ARMM);Tawi-Tawi;Simunul;PH157004000;3205
Autonomous Region in Muslim Mindanao (ARMM);Tawi-Tawi;Sitangkai;PH157005000;5331
Autonomous Region in Muslim Mindanao (ARMM);Tawi-Tawi;South Ubian;PH157006000;3707
Autonomous Region in Muslim Mindanao (ARMM);Tawi-Tawi;Tandubas;PH157007000;3902
Autonomous Region in Muslim Mindanao (ARMM);Tawi-Tawi;Turtle Islands;PH157008000;782
Autonomous Region in Muslim Mindanao (ARMM);Tawi-Tawi;Languyan;PH157009000;5051
Autonomous Region in Muslim Mindanao (ARMM);Tawi-Tawi;Sapa-Sapa;PH157010000;4770
Autonomous Region in Muslim Mindanao (ARMM);Tawi-Tawi;Sibutu;PH157011000;3910
Region XIII (Caraga);Agusan Del Norte;Buenavista;PH160201000;13670
Region XIII (Caraga);Agusan Del Norte;City of Butuan (Capital);PH160202000;74972
Region XIII (Caraga);Agusan Del Norte;City of Cabadbaran;PH160203000;16447
Region XIII (Caraga);Agusan Del Norte;Carmen;PH160204000;4628
Region XIII (Caraga);Agusan Del Norte;Jabonga;PH160205000;5114
Region XIII (Caraga);Agusan Del Norte;Kitcharao;PH160206000;4022
Region XIII (Caraga);Agusan Del Norte;Las Nieves;PH160207000;5648
Region XIII (Caraga);Agusan Del Norte;Magallanes;PH160208000;4460
Region XIII (Caraga);Agusan Del Norte;Nasipit;PH160209000;9079
Region XIII (Caraga);Agusan Del Norte;Santiago;PH160210000;4491
Region XIII (Caraga);Agusan Del Norte;Tubay;PH160211000;5180
Region XIII (Caraga);Agusan Del Norte;Remedios T. Romualdez;PH160212000;3486
Region XIII (Caraga);Agusan Del Sur;City of Bayugan;PH160301000;22438
Region XIII (Caraga);Agusan Del Sur;Bunawan;PH160302000;10160
Region XIII (Caraga);Agusan Del Sur;Esperanza;PH160303000;11459
Region XIII (Caraga);Agusan Del Sur;La Paz;PH160304000;5246
Region XIII (Caraga);Agusan Del Sur;Loreto;PH160305000;8947
Region XIII (Caraga);Agusan Del Sur;Prosperidad (Capital);PH160306000;18290
Region XIII (Caraga);Agusan Del Sur;Rosario;PH160307000;10068
Region XIII (Caraga);Agusan Del Sur;San Francisco;PH160308000;16902
Region XIII (Caraga);Agusan Del Sur;San Luis;PH160309000;6633
Region XIII (Caraga);Agusan Del Sur;Santa Josefa;PH160310000;5853
Region XIII (Caraga);Agusan Del Sur;Talacogon;PH160311000;8180
Region XIII (Caraga);Agusan Del Sur;Trento;PH160312000;11783
Region XIII (Caraga);Agusan Del Sur;Veruela;PH160313000;9343
Region XIII (Caraga);Agusan Del Sur;Sibagat;PH160314000;6632
Region XIII (Caraga);Surigao Del Norte;Alegria;PH166701000;3402
Region XIII (Caraga);Surigao Del Norte;Bacuag;PH166702000;2971
Region XIII (Caraga);Surigao Del Norte;Burgos;PH166704000;910
Region XIII (Caraga);Surigao Del Norte;Claver;PH166706000;7201
Region XIII (Caraga);Surigao Del Norte;Dapa;PH166707000;5129
Region XIII (Caraga);Surigao Del Norte;Del Carmen;PH166708000;3892
Region XIII (Caraga);Surigao Del Norte;General Luna;PH166710000;3837
Region XIII (Caraga);Surigao Del Norte;Gigaquit;PH166711000;4449
Region XIII (Caraga);Surigao Del Norte;Mainit;PH166714000;5946
Region XIII (Caraga);Surigao Del Norte;Malimono;PH166715000;3992
Region XIII (Caraga);Surigao Del Norte;Pilar;PH166716000;2353
Region XIII (Caraga);Surigao Del Norte;Placer;PH166717000;5854
Region XIII (Caraga);Surigao Del Norte;San Benito;PH166718000;1184
