,year,actual,predicted,typhoon
24637,,0.0,0.21453108,conson2010
24639,,0.0,0.12470667,conson2010
24641,,0.0,0.1304065,conson2010
24654,,0.4415188247571647,0.43860424,conson2010
24665,,0.0,0.13216296,conson2010
24671,,0.073251466756964,0.35677475,conson2010
24681,,0.0146957970020574,0.39568278,conson2010
24684,,0.0218340611353711,0.67052543,conson2010
24690,,0.0,0.12470667,conson2010
24696,,0.2965525763005066,0.6356098,conson2010
24699,,0.0,0.1281168,conson2010
24711,,0.306932674984987,0.38403523,conson2010
24715,,0.0,0.12661932,conson2010
24718,,0.0659334072586687,0.7497518,conson2010
24719,,0.0,0.2400925,conson2010
24730,,0.0,0.13611397,conson2010
24734,,0.0,0.14756627,conson2010
24746,,0.0,0.12470667,conson2010
24753,,0.0,0.12470667,conson2010
24754,,0.0,0.13420132,conson2010
24763,,0.0451798723668605,0.34693688,conson2010
24764,,0.0,0.12553115,conson2010
24765,,0.0,0.63188905,conson2010
24767,,0.0,1.10193,conson2010
24768,,0.0113694502870786,0.26882493,conson2010
24784,,0.0,0.17327565,conson2010
24788,,0.5591126341419425,0.3564342,conson2010
24789,,0.0511770726714432,9.35985,conson2010
24799,,0.5975723622782446,0.79015684,conson2010
24800,,0.2266241396676179,1.6974729,conson2010
24805,,0.004800307219662,0.4356857,conson2010
24808,,0.1895425412806023,0.3545082,conson2010
24813,,0.020665996169902,0.36102134,conson2010
24815,,0.1721282616349576,2.5641878,conson2010
24834,,0.0,0.29350576,conson2010
24835,,0.0,0.13298744,conson2010
24847,,0.0,0.12553115,conson2010
24857,,0.0,0.15242404,conson2010
24860,,0.0,0.12553115,conson2010
24878,,0.5538631957906397,0.5674813,conson2010
24885,,0.0,0.12958202,conson2010
24889,,0.1444831043226986,9.389663,conson2010
24890,,0.0458190148911798,0.1996107,conson2010
24910,,0.0,0.12470667,conson2010
24911,,0.0,0.20061824,conson2010
24916,,0.0105004515194153,0.818995,conson2010
24917,,0.0,0.3101036,conson2010
24918,,0.0,0.2121222,conson2010
24925,,0.2925687536571094,0.5069459,conson2010
24930,,0.2241984903968313,3.391435,conson2010
24934,,0.195733020160501,1.5936401,conson2010
24940,,0.0,0.12661932,conson2010
24944,,0.013512904824107,2.385859,conson2010
24945,,0.0,0.19185701,conson2010
24946,,0.0,0.13298619,conson2010
24948,,0.0,0.12470667,conson2010
24954,,0.0116945386504502,0.7415529,conson2010
24957,,0.035650623885918,0.7686021,conson2010
24958,,0.1279283601183337,0.4661563,conson2010
24964,,0.0,0.57174903,conson2010
24965,,0.0066507049747273,0.35352048,conson2010
24966,,0.0,0.1325598,conson2010
24975,,0.0,0.13107353,conson2010
24979,,0.0225135514261468,0.591415,conson2010
24980,,0.0,0.34957108,conson2010
24981,,0.4327131112072695,0.97001064,conson2010
24983,,0.0,0.13162038,conson2010
24987,,0.0,0.14334182,conson2010
24989,,2.2271714922049,0.8627596,conson2010
24997,,0.0,0.8664437,conson2010
25006,,0.0077924101924725,0.3611914,conson2010
25010,,0.0,0.13139243,conson2010
25017,,0.2194854286062675,0.43296573,conson2010
25021,,0.0,0.22886884,conson2010
25028,,0.0,1.3491236,conson2010
25031,,0.0,0.13107353,conson2010
25032,,0.0,0.2432673,conson2010
