"","task.id","learner.id","iter","mae"
"259","nock-ten2016","xgboost.tuned",4,5.6562320085797
"260","nock-ten2016","xgboost.tuned",5,5.36752541011776
"261","noul2015","ranger.tuned",1,4.88786386825438
"262","noul2015","ranger.tuned",2,5.280771457515
"263","noul2015","ranger.tuned",3,6.54376340949104
"264","noul2015","ranger.tuned",4,4.77450148497042
"265","noul2015","ranger.tuned",5,5.46171922301007
"266","noul2015","xgboost.tuned",1,4.74926220882384
"267","noul2015","xgboost.tuned",2,5.07988708767016
"268","noul2015","xgboost.tuned",3,6.42964737021645
"269","noul2015","xgboost.tuned",4,4.38965133358192
"270","noul2015","xgboost.tuned",5,5.32154016184081
"271","phanfone2019","ranger.tuned",1,5.37526633166182
"272","phanfone2019","ranger.tuned",2,5.59496971138516
"273","phanfone2019","ranger.tuned",3,5.49528687350478
"274","phanfone2019","ranger.tuned",4,5.32027481869966
"275","phanfone2019","ranger.tuned",5,5.38049131999897
"276","phanfone2019","xgboost.tuned",1,5.19724434987192
"277","phanfone2019","xgboost.tuned",2,5.41773265615284
"278","phanfone2019","xgboost.tuned",3,5.37698339054964
"279","phanfone2019","xgboost.tuned",4,5.39630380207091
"280","phanfone2019","xgboost.tuned",5,5.54233725003149
"281","rammasun2014","ranger.tuned",1,4.96035241922082
"282","rammasun2014","ranger.tuned",2,5.54004110825087
"283","rammasun2014","ranger.tuned",3,5.67357215227676
"284","rammasun2014","ranger.tuned",4,6.05114376741845
"285","rammasun2014","ranger.tuned",5,4.97205813652809
"286","rammasun2014","xgboost.tuned",1,4.67581545686671
"287","rammasun2014","xgboost.tuned",2,6.04812185359382
"288","rammasun2014","xgboost.tuned",3,5.66935105891745
"289","rammasun2014","xgboost.tuned",4,5.86381546550355
"290","rammasun2014","xgboost.tuned",5,5.00533658284475
"291","sarika2016","ranger.tuned",1,5.3871945378085
"292","sarika2016","ranger.tuned",2,5.2520302116085
"293","sarika2016","ranger.tuned",3,5.21944504582164
"294","sarika2016","ranger.tuned",4,5.01745112316514
"295","sarika2016","ranger.tuned",5,5.5821004992339
"296","sarika2016","xgboost.tuned",1,4.90202248708149
"297","sarika2016","xgboost.tuned",2,4.9541999228286
"298","sarika2016","xgboost.tuned",3,5.22788366223326
"299","sarika2016","xgboost.tuned",4,4.95942936293108
"300","sarika2016","xgboost.tuned",5,5.3311660954815
"301","tokage2016","ranger.tuned",1,5.90081244290504
"302","tokage2016","ranger.tuned",2,5.33302945394378
"303","tokage2016","ranger.tuned",3,4.83321080846481
"304","tokage2016","ranger.tuned",4,5.12506714696035
"305","tokage2016","ranger.tuned",5,5.58465127910048
"306","tokage2016","xgboost.tuned",1,5.9747376345741
"307","tokage2016","xgboost.tuned",2,5.41175968094578
"308","tokage2016","xgboost.tuned",3,5.25465368773578
"309","tokage2016","xgboost.tuned",4,4.86612124634413
"310","tokage2016","xgboost.tuned",5,5.38245148622115
"311","usagi2013","ranger.tuned",1,5.17443189661422
"312","usagi2013","ranger.tuned",2,5.20314784093665
