Mun_name,Mun_Code,mean_slope,mean_elevation_m,ruggedness_stdev,mean_ruggedness,slope_stdev,area_km2,poverty_perc,with_coast,coast_length,perimeter
SAN FERNANDO,PH054118000,7.52,77.16,27.72,38.87,6.02,78,7.72,1,25280,45413
SAN JACINTO,PH054119000,7.40,108.05,24.83,39.08,5.30,108,8.12,1,33231,58437
SAN PASCUAL,PH054120000,5.19,58.86,17.48,28.05,3.76,256,8.62,1,126513,170495
USON,PH054121000,4.67,81.71,21.15,24.26,4.62,235,8.16,1,34121,113183
BARCELONA,PH056202000,4.19,90.73,14.36,22.86,3.20,60,8.20,1,12701,41088
BULAN,PH056203000,6.15,74.32,29.71,32.12,6.43,200,7.67,1,40062,78529
BULUSAN,PH056204000,10.83,313.70,42.20,53.98,8.59,89,7.34,1,16834,46028
CASIGURAN,PH056205000,4.21,96.27,23.27,22.67,4.70,88,7.68,1,15032,47881
CASTILLA,PH056206000,4.97,108.75,25.45,25.98,5.36,195,8.60,1,55325,107757
DONSOL,PH056207000,3.96,52.99,14.19,24.02,3.06,153,11.20,1,24426,73262
GUBAT,PH056208000,2.35,33.60,9.16,14.49,1.83,103,6.51,1,36948,76889
IROSIN,PH056209000,10.24,224.22,43.43,50.81,9.03,134,6.86,0,,48380
JUBAN,PH056210000,8.40,123.45,40.39,42.93,8.37,122,7.98,1,479,92404
MAGALLANES,PH056211000,7.74,99.20,30.40,39.19,6.47,112,9.46,1,18,70098
MATNOG,PH056212000,10.71,132.25,31.61,53.16,6.99,139,8.60,1,45604,102880
PILAR,PH056213000,2.66,28.62,9.30,16.19,1.92,201,9.42,1,108873,179874
PRIETO DIAZ,PH056214000,3.29,54.06,15.17,17.39,3.31,56,9.83,1,37261,50702
SANTA MAGDALENA,PH056215000,8.94,108.51,23.07,43.99,5.30,53,8.30,1,13346,34951
CITY OF SORSOGON (Capital),PH056216000,8.82,220.58,44.09,44.72,8.94,281,4.98,1,83262,128310
ALTAVAS,PH060401000,6.63,63.59,25.89,34.59,5.70,95,5.48,1,6,55867
BALETE,PH060402000,6.58,61.04,25.92,34.33,5.78,118,6.18,0,,60200
BANGA,PH060403000,3.44,41.03,18.59,19.00,3.99,64,3.81,0,,42791
BATAN,PH060404000,3.95,24.54,22.28,20.76,4.72,84,5.90,1,38778,110306
BURUANGA,PH060405000,11.00,216.46,32.71,56.15,7.12,69,4.45,1,20573,57145
IBAJAY,PH060406000,9.22,131.07,37.81,47.29,7.95,149,5.25,1,18736,75381
KALIBO (Capital),PH060407000,0.91,8.88,3.82,6.21,0.73,40,2.80,1,19044,45052
LEZO,PH060408000,1.45,15.79,7.95,9.08,1.55,20,3.97,0,,18618
LIBACAO,PH060409000,14.00,252.07,51.25,72.09,10.48,177,9.58,0,,70197
MADALAG,PH060410000,19.72,503.26,56.70,101.97,11.48,291,9.15,0,,90927
MAKATO,PH060411000,5.14,68.34,31.61,28.14,6.55,60,6.07,1,4550,41549
MALAY,PH060412000,11.12,178.13,33.98,57.58,7.46,72,3.00,1,26889,74998
MALINAO,PH060413000,13.12,289.94,44.20,67.37,9.31,209,5.80,0,,67426
NABAS,PH060414000,13.15,184.72,45.69,67.72,9.61,87,4.35,1,605,60570
NEW WASHINGTON,PH060415000,0.85,6.07,3.78,5.52,0.72,55,4.82,1,63800,146030
NUMANCIA,PH060416000,0.97,8.51,3.13,6.38,0.64,24,3.28,1,6153,27052
TANGALAN,PH060417000,9.31,122.39,33.22,48.30,7.26,68,5.73,1,12303,43861
ANINI-Y,PH060601000,8.83,100.99,26.19,43.61,5.80,51,4.86,1,26475,42606
BARBAZA,PH060602000,21.21,559.16,68.97,111.17,13.02,177,4.53,1,10233,71734
BELISON,PH060603000,5.73,74.67,29.80,29.54,6.33,30,3.42,1,5919,26111
BUGASONG,PH060604000,16.48,336.74,61.70,85.24,12.24,174,5.22,1,10132,86939
CALUYA,PH060605000,3.05,31.48,13.61,15.55,2.96,138,3.91,1,6094,192263
CULASI,PH060606000,17.17,516.27,62.76,87.34,12.10,197,5.41,1,19531,89971
TOBIAS FORNIER (DAO),PH060607000,7.84,121.81,22.77,39.36,5.15,111,3.89,1,16878,49220
HAMTIC,PH060608000,9.44,136.53,30.99,47.92,6.85,136,5.42,1,16189,54005
LAUA-AN,PH060609000,16.88,372.90,54.94,88.57,11.07,160,5.11,1,10301,72022
LIBERTAD,PH060610000,14.12,268.69,42.54,72.72,9.00,95,4.83,1,22038,52407
PANDAN,PH060611000,11.58,204.66,43.16,59.01,9.04,147,4.11,1,18398,65431
PATNONGON,PH060612000,10.17,135.29,37.62,51.10,7.84,133,5.75,1,16266,46125
SAN JOSE (Capital),PH060613000,1.52,13.89,10.36,8.86,2.12,45,2.83,1,17976,37208
SAN REMIGIO,PH060614000,14.82,522.89,44.58,73.88,8.99,394,7.37,0,,96465
SEBASTE,PH060615000,15.52,265.28,43.66,77.56,9.34,107,5.38,1,20275,55711
SIBALOM,PH060616000,8.97,212.44,39.61,44.48,8.17,235,5.10,0,,72211
TIBIAO,PH060617000,15.16,306.18,52.11,77.38,10.52,99,5.49,1,14586,50642
VALDERRAMA,PH060618000,18.24,551.30,51.53,92.63,10.39,308,8.69,0,,92691
CUARTERO,PH061901000,5.44,89.56,26.62,29.20,5.72,105,4.93,0,,68473
DAO,PH061902000,1.61,19.64,6.42,10.29,1.26,75,4.23,0,,41561
DUMALAG,PH061903000,5.31,80.97,23.71,27.93,5.25,92,3.80,0,,45332
DUMARAO,PH061904000,4.89,84.49,23.12,25.72,5.08,222,5.51,0,,77973
IVISAN,PH061905000,8.37,68.18,37.16,42.98,7.94,58,4.40,1,26010,52607
JAMINDAN,PH061906000,12.04,341.39,54.18,62.61,10.82,471,6.58,0,,137674
MA-AYON,PH061907000,7.31,96.66,30.51,37.94,6.57,189,7.18,0,,68470
MAMBUSAO,PH061908000,3.97,48.51,19.87,21.46,4.26,103,4.58,0,,50837
PANAY,PH061909000,0.78,3.99,3.53,5.13,0.67,133,4.92,1,35202,78131
PANITAN,PH061910000,1.93,20.40,9.45,11.58,1.97,90,4.26,0,,54270
PILAR,PH061911000,8.18,94.30,41.39,41.16,8.82,118,6.94,1,24569,61209
PONTEVEDRA,PH061912000,3.18,33.37,23.22,17.22,4.82,105,4.71,1,22809,75537
PRESIDENT ROXAS,PH061913000,7.79,94.48,44.01,39.49,9.14,68,5.32,1,13783,45091
ROXAS CITY (Capital),PH061914000,3.43,21.18,23.49,18.74,4.84,103,3.11,1,32958,79106
SAPI-AN,PH061915000,5.36,41.91,25.75,28.51,5.39,88,7.19,1,16513,58022
SIGMA,PH061916000,3.04,38.62,16.11,17.41,3.38,107,4.84,0,,53778
TAPAZ,PH061917000,11.18,363.14,44.90,58.50,9.26,523,8.00,0,,126521
AJUY,PH063001000,6.71,96.24,29.13,34.13,6.47,171,5.94,1,66445,129965
ALIMODIAN,PH063002000,9.59,255.57,36.05,48.50,7.59,101,4.14,0,,68863
ANILAO,PH063003000,5.52,74.70,28.03,28.68,5.85,102,5.53,1,7787,45280
BADIANGAN,PH063004000,3.39,75.14,10.66,21.61,2.11,64,3.65,0,,42782
BALASAN,PH063005000,3.88,42.36,35.28,20.51,7.28,56,4.82,1,6997,41701
BANATE,PH063006000,3.28,35.16,23.00,17.45,4.84,55,5.33,1,18819,49212
BAROTAC NUEVO,PH063007000,1.02,12.87,8.71,6.12,1.74,96,4.28,1,18991,65723
BAROTAC VIEJO,PH063008000,6.72,92.08,28.78,34.09,6.34,181,5.56,1,28786,77699
BATAD,PH063009000,6.65,68.35,29.60,33.91,6.35,45,5.21,1,12343,46461
BINGAWAN,PH063010000,4.03,84.94,17.40,22.46,3.83,57,4.73,0,,59587
CABATUAN,PH063012000,2.83,71.18,11.26,16.20,2.32,104,2.92,0,,43311
CALINOG,PH063013000,5.37,130.20,28.05,29.43,5.89,135,4.77,0,,64722
CARLES,PH063014000,5.27,35.24,29.10,26.37,6.21,103,7.25,1,39997,209615
CONCEPCION,PH063015000,8.72,59.42,37.05,43.39,7.85,86,7.28,1,19500,130895
DINGLE,PH063016000,3.71,58.36,21.96,19.80,4.68,98,3.67,0,,55956
DUEï¿½ï¿½AS,PH063017000,2.74,57.57,10.87,16.20,2.20,92,3.53,0,,50488
DUMANGAS,PH063018000,0.73,6.59,4.54,4.64,0.78,119,3.55,1,35235,67966
ESTANCIA,PH063019000,2.96,21.62,12.23,15.79,2.66,29,5.63,1,16755,42836
GUIMBAL,PH063020000,4.26,52.36,16.13,22.06,3.43,43,2.26,1,9669,37280
IGBARAS,PH063021000,12.66,378.19,45.06,63.38,9.27,131,4.13,0,,57248
ILOILO CITY (Capital),PH063022000,0.62,6.89,2.31,4.40,0.43,73,2.55,1,30167,57928
JANIUAY,PH063023000,10.12,306.15,47.22,51.88,9.69,183,4.20,0,,73214
LAMBUNAO,PH063025000,12.22,438.30,48.85,62.85,10.08,405,5.06,0,,104460
LEGANES,PH063026000,0.56,7.94,1.82,3.82,0.36,32,2.73,1,10564,36869
LEMERY,PH063027000,4.89,131.00,23.24,25.67,5.07,149,5.39,0,,55464
LEON,PH063028000,11.12,292.12,35.60,55.71,7.65,139,3.92,0,,64680
MAASIN,PH063029000,10.66,294.13,35.66,54.93,7.57,151,3.91,0,,61663
MIAGAO,PH063030000,11.02,269.64,37.95,54.57,8.06,170,2.90,1,16380,62649
MINA,PH063031000,1.23,37.36,6.12,8.14,1.09,39,3.45,0,,33717
NEW LUCENA,PH063032000,1.69,27.14,6.42,10.49,1.25,39,2.66,0,,28732
OTON,PH063034000,0.62,18.91,2.80,4.33,0.52,85,2.36,1,9006,44214
CITY OF PASSI,PH063035000,4.28,93.17,18.99,22.57,4.16,241,3.68,0,,81312
PAVIA,PH063036000,0.58,17.03,1.85,4.14,0.35,25,1.41,0,,23353
POTOTAN,PH063037000,0.92,23.47,4.50,6.09,0.85,98,3.08,0,,64413
SAN DIONISIO,PH063038000,7.30,87.57,33.64,36.62,7.19,118,6.56,1,24663,61452
SAN ENRIQUE,PH063039000,5.86,108.42,29.75,29.58,6.51,105,5.04,0,,54327
SAN JOAQUIN,PH063040000,11.00,208.94,30.25,53.97,6.66,199,4.39,1,27513,73334
SAN MIGUEL,PH063041000,1.08,37.50,7.21,7.03,1.37,33,2.34,0,,33324
SAN RAFAEL,PH063042000,7.81,196.89,38.61,39.61,8.27,84,6.59,0,,38650
SANTA BARBARA,PH063043000,1.39,30.95,5.91,8.73,1.18,69,2.60,0,,40250
SARA,PH063044000,6.86,133.04,32.86,35.06,7.04,185,4.51,0,,64114
TIGBAUAN,PH063045000,2.76,43.76,12.70,14.98,2.75,90,3.45,1,9019,41864
TUBUNGAN,PH063046000,13.36,394.23,42.29,67.33,8.71,90,4.33,0,,51975
ZARRAGA,PH063047000,0.56,6.95,1.86,3.84,0.38,38,3.79,1,6278,48313
BUENAVISTA,PH067901000,3.19,61.78,13.14,17.75,2.77,112,2.64,1,51273,73089
JORDAN (Capital),PH067902000,4.07,88.25,15.21,22.71,3.30,104,4.32,1,56509,85773
NUEVA VALENCIA,PH067903000,4.01,58.01,14.72,21.74,3.23,128,5.17,1,104996,198328
SAN LORENZO,PH067904000,3.55,66.26,13.23,18.93,2.92,115,6.95,1,23292,73720
SIBUNAG,PH067905000,4.10,86.20,15.84,21.55,3.55,136,6.22,1,32003,113020
ALBURQUERQUE,PH071201000,3.73,84.11,15.02,21.66,3.28,29,1.75,1,9164,28128
ALICIA,PH071202000,5.04,96.60,20.01,26.37,4.32,82,6.68,0,,39478
ANDA,PH071203000,6.59,169.24,25.26,37.10,5.42,66,4.90,1,27295,45827
ANTEQUERA,PH071204000,4.38,136.81,17.50,26.75,3.53,66,2.68,0,,37166
BACLAYON,PH071205000,3.40,84.57,12.76,21.30,2.51,34,1.37,1,9473,32960
BALILIHAN,PH071206000,4.34,129.79,20.74,28.06,4.07,105,4.13,0,,58447
BATUAN,PH071207000,4.98,277.97,21.17,33.35,4.00,85,4.94,0,,57333
BILAR,PH071208000,6.66,349.94,24.98,42.72,5.02,159,3.81,0,,66227
BUENAVISTA,PH071209000,4.57,104.68,15.59,25.18,3.36,109,7.84,1,434,61740
CALAPE,PH071210000,5.02,105.17,26.46,27.00,5.55,71,5.03,1,42337,119707
CANDIJAY,PH071211000,5.87,92.22,26.70,30.95,5.63,93,6.58,1,19583,71316
CARMEN,PH071212000,4.13,260.56,18.09,22.43,3.85,209,6.36,0,,71954
CATIGBIAN,PH071213000,3.52,224.49,17.15,21.96,3.20,108,4.86,0,,51447
CLARIN,PH071214000,4.72,113.75,21.28,24.35,4.69,45,5.25,1,13912,38692
CORELLA,PH071215000,3.17,88.93,14.83,21.21,2.98,35,1.98,0,,25729
CORTES,PH071216000,2.43,44.05,12.33,14.18,2.60,33,2.91,1,3619,33937
DAGOHOY,PH071217000,4.18,154.59,21.39,22.68,4.46,92,8.60,0,,57557
DANAO,PH071218000,5.69,122.93,22.35,31.29,4.69,109,7.71,0,,58850
DAUIS,PH071219000,2.26,36.32,12.01,11.50,2.72,44,1.32,1,25213,32021
DIMIAO,PH071220000,6.97,235.21,23.03,34.87,5.23,54,4.20,1,6000,43789
DUERO,PH071221000,9.94,410.43,31.38,51.33,6.89,65,4.79,1,7033,42747
GARCIA HERNANDEZ,PH071222000,10.71,321.37,34.02,53.81,7.16,96,2.70,1,12262,46978
GUINDULMAN,PH071223000,8.77,178.37,31.12,44.58,6.76,98,4.68,1,16179,63576
INABANGA,PH071224000,3.74,60.78,18.32,20.77,3.85,108,5.45,1,18462,67059
JAGNA,PH071225000,9.63,377.49,29.19,48.86,6.34,97,3.56,1,14158,54138
GETAFE,PH071226000,4.17,50.77,18.58,23.08,3.96,94,8.97,1,1228,146572
LILA,PH071227000,7.51,116.18,27.57,37.79,5.61,18,3.12,1,8103,31188
LOAY,PH071228000,4.54,49.04,17.21,23.95,3.79,26,2.55,1,19002,39319
LOBOC,PH071229000,7.64,168.66,24.21,40.58,5.40,58,2.19,0,,33293
LOON,PH071230000,5.35,136.69,20.56,29.62,4.36,99,3.20,1,45145,97983
MABINI,PH071231000,5.74,54.05,25.64,30.37,5.29,97,6.88,1,29680,64994
MARIBOJOC,PH071232000,5.95,121.73,27.13,31.44,5.74,55,2.48,1,22508,51727
PANGLAO,PH071233000,1.00,15.49,5.46,5.96,1.19,47,1.94,1,33909,45583
PILAR,PH071234000,4.53,229.87,25.79,23.86,5.42,114,7.07,0,,56373
PRES. CARLOS P. GARCIA (PITOGO),PH071235000,3.39,15.26,15.25,17.76,3.20,47,9.24,1,3700,114847
SAGBAYAN (BORJA),PH071236000,2.51,252.68,12.40,15.25,2.31,76,5.79,0,,41232
SAN ISIDRO,PH071237000,6.54,228.94,22.63,38.11,4.84,59,5.00,0,,38701
SAN MIGUEL,PH071238000,2.60,65.63,11.75,14.60,2.50,107,6.31,1,5857,49347
SEVILLA,PH071239000,6.11,133.93,21.40,34.56,4.70,56,5.49,0,,34917
SIERRA BULLONES,PH071240000,6.81,347.93,27.63,34.12,6.08,99,4.85,0,,50792
SIKATUNA,PH071241000,5.31,145.40,22.65,33.62,4.52,42,2.63,0,,29516
TAGBILARAN CITY (Capital),PH071242000,1.87,37.88,10.04,10.40,2.17,32,0.67,1,26221,42043
TALIBON,PH071243000,3.12,49.78,15.24,17.63,3.10,148,6.21,1,3162,139242
TRINIDAD,PH071244000,2.49,51.63,13.32,14.49,2.68,143,6.53,0,,56797
TUBIGON,PH071245000,5.57,113.42,23.74,28.40,5.22,66,2.88,1,24636,92343
UBAY,PH071246000,3.11,47.14,21.59,17.04,4.42,265,7.03,1,15741,157268
VALENCIA,PH071247000,8.59,311.18,27.62,44.24,5.88,99,4.53,1,8006,47108
BIEN UNIDO,PH071248000,0.87,6.45,2.63,5.60,0.54,27,7.40,1,7157,54375
ALCANTARA,PH072201000,5.57,173.12,19.61,29.79,4.21,26,5.46,1,9,36141
ALCOY,PH072202000,10.45,452.71,33.65,59.22,6.76,67,5.54,1,8697,33316
ALEGRIA,PH072203000,10.50,470.37,33.08,56.23,7.15,96,7.53,1,15510,45758
ALOGUINSAN,PH072204000,6.55,114.01,21.61,35.90,4.63,63,4.20,1,12331,36092
ARGAO,PH072205000,10.27,293.56,33.99,52.75,7.18,196,3.54,1,28406,67386
ASTURIAS,PH072206000,9.14,136.53,33.03,49.14,7.26,140,5.70,1,21223,89935
BADIAN,PH072207000,10.35,371.54,32.87,55.24,6.65,117,6.30,1,27031,66377
BALAMBAN,PH072208000,13.33,283.55,42.52,68.58,9.21,221,3.88,1,20283,88886
BANTAYAN,PH072209000,1.24,17.93,5.74,7.53,1.10,83,11.06,1,46697,109288
BARILI,PH072210000,8.37,178.62,27.95,43.04,6.07,119,5.12,1,19272,52924
CITY OF BOGO,PH072211000,2.94,52.87,12.20,16.55,2.58,95,7.07,1,30646,59127
BOLJOON,PH072212000,10.87,393.22,29.97,58.65,6.37,82,6.03,1,10724,38087
BORBON,PH072213000,5.17,142.97,18.89,30.80,3.72,91,6.95,1,15871,49923
CITY OF CARCAR,PH072214000,7.19,123.39,28.94,37.53,5.95,99,3.60,1,27459,62904
CARMEN,PH072215000,10.86,327.85,32.85,55.19,7.38,86,3.22,1,17264,50118
CATMON,PH072216000,11.23,268.41,30.79,58.27,6.86,111,4.92,1,13534,52218
CEBU CITY (Capital),PH072217000,12.68,330.87,41.08,63.98,8.81,291,1.05,1,13426,88508
COMPOSTELA,PH072218000,9.07,131.56,30.79,47.80,6.81,47,3.05,1,8378,49423
CONSOLACION,PH072219000,6.31,81.10,26.12,35.55,5.42,38,0.96,1,22984,57041
CORDOVA,PH072220000,0.66,4.22,1.93,4.19,0.39,9,3.08,1,15581,28643
DAANBANTAYAN,PH072221000,2.18,27.22,9.43,12.26,1.88,92,9.54,1,8693,90688
DALAGUETE,PH072222000,11.18,456.48,35.02,60.74,7.26,143,5.21,1,15587,55546
DANAO CITY,PH072223000,12.00,298.10,37.07,61.22,8.08,168,1.72,1,30892,99104
DUMANJUG,PH072224000,6.18,118.13,21.40,32.46,4.77,86,5.08,1,16260,44019
GINATILAN,PH072225000,14.00,400.76,39.30,68.52,8.10,50,5.65,1,9186,32002
LAPU-LAPU CITY (OPON),PH072226000,0.66,5.15,3.26,4.22,0.62,67,1.47,1,75417,164329
LILOAN,PH072227000,6.31,75.00,30.08,34.58,6.13,53,1.37,1,19456,60614
MADRIDEJOS,PH072228000,0.89,10.36,3.02,5.59,0.61,24,9.81,1,18089,24869
MALABUYOC,PH072229000,13.68,390.31,38.38,67.21,8.04,82,7.76,1,12430,41376
MANDAUE CITY,PH072230000,1.52,16.66,7.46,9.38,1.46,31,0.80,1,17012,37007
MEDELLIN,PH072231000,2.14,27.66,9.77,12.09,1.95,76,9.41,1,40858,65468
MINGLANILLA,PH072232000,11.37,217.63,39.24,59.09,8.23,51,1.20,1,6309,37946
MOALBOAL,PH072233000,6.11,213.38,26.86,33.44,5.30,69,4.11,1,24016,55156
CITY OF NAGA,PH072234000,11.32,203.78,33.17,56.82,7.15,97,2.31,1,17080,50024
OSLOB,PH072235000,11.34,423.82,37.74,58.33,7.72,127,5.14,1,25151,59797
PILAR,PH072236000,5.53,61.37,18.84,28.73,4.02,34,10.17,1,52838,54441
PINAMUNGAHAN,PH072237000,6.64,99.57,28.09,37.93,5.68,106,4.56,1,17098,48597
PORO,PH072238000,4.52,95.43,18.37,22.27,4.10,66,8.73,1,39944,50259
RONDA,PH072239000,5.73,142.92,18.85,32.15,4.14,44,4.21,1,8261,36948
SAMBOAN,PH072240000,8.30,318.23,20.90,41.30,4.75,52,5.34,1,13000,31940
SAN FERNANDO,PH072241000,9.48,162.17,32.65,50.58,6.85,75,3.21,1,15466,43045
SAN FRANCISCO,PH072242000,2.98,47.11,13.61,14.80,3.05,91,9.26,1,4450,76332
SAN REMIGIO,PH072243000,4.16,60.49,21.01,24.01,3.97,97,9.10,1,55637,88395
SANTA FE,PH072244000,1.73,18.28,7.14,8.73,1.70,29,12.39,1,16243,46807
SANTANDER,PH072245000,6.06,199.76,17.20,28.78,4.03,33,4.68,1,13213,26353
SIBONGA,PH072246000,8.79,227.23,27.21,44.04,5.86,106,5.72,1,22814,59885
SOGOD,PH072247000,6.16,206.47,23.89,36.84,4.90,112,4.75,1,11980,59052
TABOGON,PH072248000,6.20,112.17,22.13,34.55,4.59,88,9.49,1,17672,48219
TABUELAN,PH072249000,5.61,103.13,19.94,34.69,3.93,83,8.74,1,23383,55848
CITY OF TALISAY,PH072250000,11.06,153.26,53.56,57.85,10.92,42,0.87,1,8817,40730
TOLEDO CITY,PH072251000,10.81,219.04,39.06,54.97,8.47,232,2.95,1,22753,82854
TUBURAN,PH072252000,9.16,160.44,30.22,50.94,6.70,244,7.43,1,28017,79377
TUDELA,PH072253000,5.39,93.83,19.48,26.13,4.30,33,6.88,1,18433,27751
ENRIQUE VILLANUEVA,PH076101000,7.87,98.65,28.17,39.74,6.07,26,3.95,1,10930,25654
LARENA,PH076102000,8.88,175.54,23.46,44.96,5.26,41,1.60,1,10881,35698
LAZI,PH076103000,5.32,153.56,19.43,27.86,4.19,70,6.17,1,20914,46798
MARIA,PH076104000,5.32,99.21,24.73,26.93,5.16,57,5.01,1,26710,46985
SAN JUAN,PH076105000,5.14,105.32,17.70,25.86,3.91,40,4.65,1,19321,40745
SIQUIJOR (Capital),PH076106000,5.94,206.14,21.63,31.92,4.76,85,2.77,1,27494,62882
ARTECHE,PH082601000,4.36,36.95,16.10,23.31,3.44,101,8.76,1,56752,106774
BALANGIGA,PH082602000,7.75,173.85,24.58,38.83,5.60,196,6.73,1,27640,86829
BALANGKAYAN,PH082603000,8.50,192.49,28.68,43.82,6.39,186,7.39,1,17833,95591
CITY OF BORONGAN (Capital),PH082604000,9.04,226.06,28.69,46.83,6.32,633,4.18,1,63532,182988
CAN-AVID,PH082605000,7.93,90.98,29.83,43.60,6.22,239,7.04,1,19356,92642
DOLORES,PH082606000,5.91,54.98,24.41,32.26,5.13,310,7.24,1,22728,119981
GENERAL MACARTHUR,PH082607000,8.72,156.79,25.41,44.79,5.72,183,7.63,1,12612,63307
GIPORLOS,PH082608000,6.64,127.14,22.41,33.64,5.01,93,8.40,1,38830,78978
GUIUAN,PH082609000,5.71,72.92,22.41,27.42,5.01,177,6.12,1,40156,232132
HERNANI,PH082610000,5.59,95.91,19.68,28.35,4.34,50,8.34,1,24107,40349
JIPAPAD,PH082611000,6.76,90.31,16.82,36.53,3.88,116,10.29,0,,45100
LAWAAN,PH082612000,7.94,212.78,27.44,39.61,6.07,146,6.44,1,22832,69111
LLORENTE,PH082613000,7.95,171.76,26.80,40.41,5.98,286,7.18,1,8,113971
MASLOG,PH082614000,8.55,256.67,25.79,43.84,5.75,304,9.47,0,,77815
MAYDOLONG,PH082615000,8.40,143.51,28.02,43.70,6.26,190,5.33,1,13216,105183
MERCEDES,PH082616000,2.48,22.41,15.70,13.08,3.41,20,6.01,1,17420,26272
ORAS,PH082617000,5.71,44.60,20.23,30.68,4.34,237,7.25,1,42132,109269
QUINAPONDAN,PH082618000,5.34,81.21,22.21,27.94,4.85,86,7.41,1,52976,96363
SALCEDO,PH082619000,3.22,33.79,18.13,16.82,3.81,119,6.41,1,91555,121977
SAN JULIAN,PH082620000,7.97,203.51,27.14,41.70,5.73,140,5.53,1,34647,82755
SAN POLICARPO,PH082621000,2.73,41.67,10.49,14.31,2.35,70,7.97,1,62572,81818
SULAT,PH082622000,8.14,143.18,30.80,44.59,6.27,128,6.07,1,27402,90615
TAFT,PH082623000,9.17,113.36,34.29,51.78,6.95,243,6.51,1,27181,86256
ABUYOG,PH083701000,8.73,182.19,36.80,43.56,7.71,316,6.09,1,38796,111559
ALANGALANG,PH083702000,2.01,36.56,18.90,11.82,3.75,155,12.42,0,,62935
ALBUERA,PH083703000,8.76,125.03,35.96,45.11,7.49,77,5.46,1,17360,71103
BABATNGON,PH083705000,8.77,98.85,44.64,45.62,9.05,134,7.15,1,82216,142058
BARUGO,PH083706000,1.95,28.08,9.84,11.67,2.01,85,6.24,1,17365,66051
BATO,PH083707000,4.25,74.80,16.49,23.34,3.68,70,6.76,1,4056,45828
CITY OF BAYBAY,PH083708000,13.25,279.42,52.27,70.04,9.88,378,3.70,1,42798,116435
BURAUEN,PH083710000,11.05,318.21,48.65,57.40,9.66,310,5.22,0,,110064
CALUBIAN,PH083713000,6.47,87.32,19.39,31.99,4.47,89,8.13,1,42878,76680
CAPOOCAN,PH083714000,11.17,199.57,33.80,56.70,7.28,111,7.53,1,6,84794
CARIGARA,PH083715000,3.44,92.94,18.65,17.97,3.87,88,6.42,1,9205,57806
DAGAMI,PH083717000,2.89,97.80,14.82,15.13,3.10,125,6.76,0,,66479
DULAG,PH083718000,1.51,14.20,12.04,8.89,2.73,78,10.58,1,11148,51713
HILONGOS,PH083719000,8.05,157.47,35.92,41.93,7.54,194,5.52,1,13388,70072
HINDANG,PH083720000,6.18,82.48,28.61,33.88,5.92,46,5.19,1,12516,63953
INOPACAN,PH083721000,14.85,405.59,45.89,76.69,9.44,122,4.77,1,14737,59092
ISABEL,PH083722000,6.89,124.13,24.89,35.08,5.43,65,3.03,1,36524,79481
JARO,PH083723000,6.96,256.84,46.61,36.45,8.99,187,6.63,0,,67545
JAVIER (BUGHO),PH083724000,11.86,269.08,55.60,62.59,10.81,178,6.75,1,1986,73453
JULITA,PH083725000,1.19,28.52,5.07,7.50,1.05,36,8.08,0,,41806
KANANGA,PH083726000,9.48,304.37,44.27,48.30,8.98,233,5.56,0,,74979
LA PAZ,PH083728000,7.79,195.33,45.76,39.96,8.88,95,7.20,0,,42863
LEYTE,PH083729000,7.77,94.49,36.26,39.87,7.71,181,7.92,1,2375,109849
MACARTHUR,PH083730000,4.85,123.25,32.63,26.14,6.54,71,6.87,1,6592,53418
MAHAPLAG,PH083731000,11.34,217.58,38.10,58.37,7.98,190,7.56,0,,67595
MATAG-OB,PH083733000,7.90,137.11,25.01,39.17,5.66,70,6.38,0,,51968
MATALOM,PH083734000,6.47,164.50,24.89,35.36,5.24,131,6.43,1,18404,74062
MAYORGA,PH083735000,0.89,9.38,3.20,5.65,0.67,41,8.53,1,5899,34290
MERIDA,PH083736000,7.84,130.80,23.00,38.62,5.14,107,4.69,1,29876,72669
ORMOC CITY,PH083738000,9.39,361.33,45.71,48.28,9.14,541,4.38,1,26421,158341
PALO,PH083739000,3.60,27.10,29.12,19.90,5.92,81,7.18,1,7459,56084
PALOMPON,PH083740000,5.86,87.20,24.40,31.06,5.37,152,3.78,1,83375,134092
PASTRANA,PH083741000,1.02,42.06,3.25,6.46,0.68,46,8.48,0,,44617
SAN ISIDRO,PH083742000,6.21,73.45,16.73,31.31,3.92,127,8.06,1,43183,80848
SAN MIGUEL,PH083743000,7.14,69.33,41.54,38.14,8.46,112,8.14,1,6430,60128
SANTA FE,PH083744000,1.90,22.97,18.44,10.75,3.89,42,7.79,0,,41302
TABANGO,PH083745000,7.16,62.43,19.22,36.34,4.41,130,7.64,1,41540,78470
TABONTABON,PH083746000,0.78,20.13,2.62,5.32,0.51,26,7.21,0,,31709
TACLOBAN CITY (Capital),PH083747000,8.01,64.97,41.33,42.58,8.39,106,5.92,1,58912,101834
TANAUAN,PH083748000,1.25,10.84,9.56,7.84,1.83,67,9.77,1,7942,40454
TOLOSA,PH083749000,5.35,39.06,33.74,26.99,7.30,23,10.80,1,9488,30067
TUNGA,PH083750000,1.25,46.43,3.58,7.55,0.75,9,4.81,0,,19879
VILLABA,PH083751000,6.61,87.16,19.92,33.38,4.57,151,6.66,1,30333,74349
ALLEN,PH084801000,7.06,77.24,18.44,36.07,4.42,44,5.67,1,20472,44176
BIRI,PH084802000,5.28,28.38,19.48,28.36,4.24,26,8.45,1,4952,112135
